assembly_accession,organism_name,infraspecific_name,new_genus,new_species,new_strain,label
GCA_902549675.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902549675.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_902560665.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902560665.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_902575935.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902575935.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_Synechococcus_C sp002724845
GCA_902579345.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902579345.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_Synechococcus_C sp000195975
GCA_902582045.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902582045.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_902589915.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902589915.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_902592305.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902592305.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_902592665.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902592665.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_902599435.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902599435.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_902599585.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902599585.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_902616255.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902616255.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_902616995.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902616995.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
GCA_902618505.1,uncultured Synechococcus sp.,,Synechococcus_C,Cyanobacteriia,GCA_902618505.1,c_Cyanobacteriia_o_Synechococcales_f_Cyanobiaceae_g_Synechococcus_C_s_
